coinmarketcap.com	portal
binance.com	exchange
coinbase.com	exchange
cointelegraph.com	News
blockchain.com	explorer
etherscan.io	explorer
coindesk.com	News
coingecko.com	portal
crypto.com	wallet
bitcoin.com	wallet
Cryptocompare.com	portal
uniswap.info	defi
newsbtc.com	news
defipulse.com	defi
bitcoinist.com	news
coincodex.com	portal
coinpaprika.com	portal
worldcoinindex.com	portal
coingape.com	news
uniswap.exchange	defi
coinspeaker.com	news
balancer.exchange	defi
cryptopanic.com	news
defirate.com	defi
defimarketcap.io	defi
dextools.io	defi
yieldfarming.info	defi
pools.vision	defi
defirate.com	defi
compound.finance	defi
curve.fi	defi
defiprime.com	defi
synthetix.io	defi
